0,1,2,3,4
Top Twenty Shareholders of the Company,,,,
,31 March 2023,,31 March 2022,
,Number of,%,Number of,%
,shares,,shares,
Mr S E Captain,"134,044,705",9.68,"134,220,895",9.69
Melstacorp PLC,"128,917,111",9.31,"128,917,111",9.31
HWIC Asia Fund,"119,200,760",8.61,"119,200,760",8.61
Paints and General Industries Limited,"100,717,931",7.27,"140,437,428",10.14
Asian Development Bank,"65,042,006",4.70,"65,042,006",4.70
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,"61,904,939",4.47,"61,904,939",4.47
Schroder International Selection Fund,"44,418,290",3.21,"41,974,590",3.03
CIC Holdings PLC,"35,338,032",2.55,-,-
Aberdeen Standard Asia Focus PLC,"33,398,572",2.41,"28,123,572",2.03
Norges Bank Account 2,"31,901,605",2.30,"31,901,605",2.30
Sri Lanka Insurance Corporation Limited - Life Fund,"21,846,511",1.58,"12,270,665",0.89
Mr Kandiah Balendra,"19,511,476",1.41,"19,511,476",1.41
Employees Trust Fund Board,"18,499,897",1.34,"18,499,897",1.34
Mrs C S De Fonseka,"17,606,991",1.27,"17,472,745",1.26
Edgbaston Asian Equity Trust,"17,520,023",1.27,"15,142,109",1.09
Fidelity Fund - Pacific,"15,244,082",1.10,"17,880,904",1.29
Mrs S A J De Fonseka,"15,204,230",1.10,"15,204,230",1.10
Polypak Secco Limited,"14,937,924",1.08,-,-
Chemanex PLC,"13,105,475",0.95,"12,605,234",0.91
Sunsuper Superannuation Fund,"11,587,196",0.84,-,-
