0,1,2,3,4,5,6,7,8
,,Rs.million,,,,YoY %,,
2020/21,,,,,,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Transportation,395,929,930,"1,356",-63,-16,-28,47
Consumer Foods,487,953,605,"1,276",-42,30,-16,15
Retail,502,"1,373","1,696","1,952",-52,34,8,32
Leisure,"-1,461","-1,187","-1,008",84,-335,"-1,163",-258,-96
Property,-29,-12,14,10,-162,-128,-57,-98
Financial Services,537,652,"1,300","1,156",23,16,12,39
"Other, incl. Information Technology and Plantation Services",371,608,748,"1,373",-24,39,242,606
Group,802,"3,316","4,285","7,206",-78,-18,-24,3
,,,,,,,,
