0,1,2,3,4,5,6,7,8
,,Rs.million,,,,YoY %,,
FY24,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Transportation,"1,615","1,700","1,928","2,328",-65,-44,-32,-51
Consumer Foods,720,"1,237",897,"2,140",-42,23,123,297
Retail,"1,987","1,983","2,390","2,402",-14,1,3,10
Leisure,284,"1,065","2,560","5,150",-85,6,35,34
Property,187,-435,60,-634,234,-56,119,-236
Financial Services,"1,693","1,702","4,040","1,861",93,54,57,-2
"Other, including Information Technology and Plantation Services","1,693",810,"1,466",725,-26,-44,-16,-40
Group,"8,422","8,061","13,342","13,971",-37,-13,16,20
